token	freq	lMI	rMI
the	0.06500942911023487	0.0036101659082938614	0.00030087413536505664
and	0.03034459111949254	9.414285567777051e-05	0.00013566993147914945
to	0.02585290588033602	0.00036495194008706285	0.0010785396986168249
of	0.02439567975312875	0.00041658471311964787	0.0035501361384375047
a	0.022955597462712155	0.0010070100021056896	0.00031511636564568273
he	0.022424138522201268	0.0004078307552988983	0.0033967857134462476
was	0.018703925938625063	0.00387978881229412	0.0005034718116406227
in	0.016646665523744213	9.241832794649224e-05	0.005293869820828878
his	0.013629350248585633	0.0006392409661241661	0.000449532406713901
had	0.012480713183610492	0.002987493904826709	0.001358380214284235
it	0.010406308931938968	0.00014188288786859873	0.00271319474258853
that	0.009806274644265386	0.00013192340378261373	0.00030337729734685533
i	0.008760500600034287	0.00022766004152318596	0.0006757943512283746
with	0.008280473169895422	0.00011497634212874369	0.0009348035016993281
on	0.007714726555803189	0.00012146423692834989	0.003390039280041837
she	0.007286130636036345	0.00021478580457803915	0.0013717395627012904
for	0.007097548431338934	0.00011312270184195569	0.000777203461792354
her	0.00708040459454826	0.00030019608003880634	0.00017376062771007732
at	0.00680610320589748	0.0002025934001614415	0.002880164894798812
him	0.006548945654037373	0.00034145542134864283	0.0001817780197331833
as	0.005520315446596948	9.510764542628773e-05	0.0005811838875004028
not	0.005383164752271559	0.0023062342634211737	0.00015723464917533308
they	0.005366020915480885	0.00027958832556529894	0.0010765511028347661
but	0.0050917195268301045	9.996844593998084e-05	0.0004925620995510875
would	0.004988856506086062	0.0009188346336871664	0.0013512472921237651
you	0.004834561974969998	0.0002933725911684444	0.00024861115442669364
be	0.0043888222184124805	0.0034011748740905333	0.000128909701061171
were	0.0041145208297617	0.0011191465044412669	0.00010539787598198397
from	0.0040288016458083315	0.00012154624569212563	0.0016086641202178976
out	0.0038573632779015945	0.0002019054881274291	0.0009163025002712139
there	0.003754500257157552	0.00013836915757587677	0.002441413541028579
all	0.0035830618892508143	0.00019451942425640704	0.0003090366098838566
said	0.003325904337390708	0.0008520108390517539	0.00016451868207599963
when	0.0032916166638093606	0.00012198180024583178	0.0008958437434502996
up	0.0032744728270186867	0.00016815055531006312	0.00029631381208140877
what	0.003188753643065318	0.000172112119711276	0.00022709180012774112
one	0.0031544659694839705	0.00020449742540039323	0.0006920867726557589
this	0.0030173152751585804	0.00020217482356923002	0.00021465666751367492
or	0.002965883764786559	0.00011406603824378089	0.00010558458140139149
by	0.002965883764786559	0.00011195713753739964	0.0005619418082376767
them	0.0029487399279958856	0.00030892738149070775	9.643771230297737e-05
about	0.0029315960912052116	0.0001634372153985811	0.00026365075426099804
have	0.0028973084176238642	0.0007902631436668937	0.0006044170724719091
could	0.0028801645808331903	0.0012009975247985537	0.0008414726186776272
their	0.002845876907251843	0.00029927777106514844	0.00024325273268386424
no	0.002777301560089148	0.00036890431505947415	0.0003578036243801707
an	0.0027430138865078006	0.0003096301500301317	0.0002551633380203973
been	0.0026915823761357793	0.0054865786181507	0.00013818289284597593
is	0.0025887193553917366	0.00029296159691989963	0.00011425925199095438
like	0.0025887193553917366	0.00013755145810288947	0.00110212280429384
into	0.0025372878450197153	0.0002374980081404682	0.002180610343542458
me	0.0023487056403223043	0.0003627566970681334	9.747701816728582e-05
