bigram	frequency	relative frequency	mutual information
miss ada	19.0	0.00031974689508936085	0.003232015966976211
linda kay	17.0	0.0002860893271852176	0.0033680308133777225
bobby joe	16.0	0.000269260543233146	0.003193461645915048
mr jack	14.0	0.0002356029753290027	0.0021432020121130557
simms purdew	12.0	0.00020194540742485948	0.0024789111513247473
big hans	12.0	0.00020194540742485948	0.0016244893341849935
uncle randolph	9.0	0.0001514590555686446	0.00164410572182827
papa san	8.0	0.000134630271616573	0.001273499772332209
living room	8.0	0.000134630271616573	0.0014385502591931706
pedersen kid	7.0	0.00011780148766450136	0.0013840036246683099
cousin simmons	7.0	0.00011780148766450136	0.0012166092697278804
mr flannagan	6.0	0.00010097270371242974	0.0007950868802685279
amen corner	6.0	0.00010097270371242974	0.0013404282793748035
mrs pastern	6.0	0.00010097270371242974	0.0007805165623884493
jean jacques	6.0	0.00010097270371242974	0.0013404282793748035
big house	6.0	0.00010097270371242974	0.0007112719633800669
mr mckinley	6.0	0.00010097270371242974	0.0007950868802685279
kent house	6.0	0.00010097270371242974	0.0013404282793748035
ten years	6.0	0.00010097270371242974	0.0009618878496519114
vice president	6.0	0.00010097270371242974	0.0012955171512398136
nigger boy	5.0	8.414391976035811e-05	0.0009266029806862609
monsieur favre	5.0	8.414391976035811e-05	0.0010948908202069773
front door	5.0	8.414391976035811e-05	0.0006884693770918273
fille de	5.0	8.414391976035811e-05	0.0010948908202069773
harry hawk	5.0	8.414391976035811e-05	0.0011391563120843617
machine gun	5.0	8.414391976035811e-05	0.0010574648800944855
de chambre	5.0	8.414391976035811e-05	0.0009071695692527958
young man	5.0	8.414391976035811e-05	0.0007297188297922633
black bottom	5.0	8.414391976035811e-05	0.0006809983866575683
presiding elder	4.0	6.73151358082865e-05	0.000932995683095335
ll choke	4.0	6.73151358082865e-05	0.0004762870670569978
mrs lincoln	4.0	6.73151358082865e-05	0.00048096754474683337
hot water	4.0	6.73151358082865e-05	0.0006896709990311697
fat hell	4.0	6.73151358082865e-05	0.0007365120078723811
nigger pussy	4.0	6.73151358082865e-05	0.000719611751121163
