bigram	frequency	relative frequency	mutual information
of the	367.0	0.006176163710410285	0.02113615628841167
in the	335.0	0.005637642623943994	0.02479722547540252
he was	190.0	0.0031974689508936084	0.008403633000201485
to the	183.0	0.003079667463229107	0.0069451168226412705
on the	178.0	0.002995523543468749	0.017080126430156387
he had	173.0	0.002911379623708391	0.007258030754199681
at the	155.0	0.0026084615125711017	0.015293390374499378
it was	155.0	0.0026084615125711017	0.011824806549046532
and the	122.0	0.002053111642152738	0.0024812448174484736
was a	97.0	0.0016323920433509475	0.0037172169509100727
had been	91.0	0.0015314193396385176	0.005133811861468629
to be	90.0	0.0015145905556864462	0.0018649226184153827
from the	90.0	0.0015145905556864462	0.009994687011679486
in a	85.0	0.001430446635926088	0.003461513924601253
for the	85.0	0.001430446635926088	0.006984204894916919
there was	82.0	0.001379960284069873	0.009041347083806179
of a	81.0	0.0013631315001178014	0.0016935929263004225
into the	77.0	0.001295816364309515	0.009988148881454696
with a	75.0	0.0012621587964053718	0.005373233780898176
with the	73.0	0.0012285012285012285	0.005182043208146464
of his	71.0	0.0011948436605970852	0.0012573641547758284
did not	65.0	0.0010938709568846555	0.008748185036135222
don t	65.0	0.0010938709568846555	0.01071304064815606
she was	64.0	0.001077042172932584	0.004614384976812507
she had	63.0	0.0010602133889805123	0.004518197082245762
in his	62.0	0.0010433846050284406	0.0020499259154972893
was the	60.0	0.0010097270371242973	0.0015995461544721357
and he	56.0	0.0009424119013160109	8.024308925209165e-05
he would	56.0	0.0009424119013160109	0.0008158586298693281
out of	56.0	0.0009424119013160109	0.005668018878380353
would be	55.0	0.0009255831173639393	0.0048794209532866005
didn t	54.0	0.0009087543334118677	0.009183171432721909
he could	52.0	0.0008750967655077244	0.000664021864319152
that he	51.0	0.0008582679815556527	0.002651506040740743
like a	48.0	0.0008077816296994379	0.005552913412448785
they were	48.0	0.0008077816296994379	0.0037925355658847354
was not	47.0	0.0007909528457473663	0.0009743237540792827
that the	46.0	0.0007741240617952946	0.0022763157391623816
the same	46.0	0.0007741240617952946	-0.0018542815055869316
by the	45.0	0.0007572952778432231	0.0048967344816477675
had to	44.0	0.0007404664938911515	0.0017060049673918217
one of	44.0	0.0007404664938911515	0.00457596280799567
when he	42.0	0.0007068089259870082	0.004299172213077418
for a	42.0	0.0007068089259870082	0.0027321422516259995
but he	42.0	0.0007068089259870082	0.0034095024596748533
he said	42.0	0.0007068089259870082	0.0003185417632923828
a little	41.0	0.0006899801420349365	0.0003017500245710199
on his	40.0	0.0006731513580828649	0.0023883936714343855
down the	39.0	0.0006563225741307933	0.004660404808961253
i was	39.0	0.0006563225741307933	0.00180882887363905
and a	38.0	0.0006394937901787217	-0.0003032996861576626
over the	38.0	0.0006394937901787217	0.004928684443482174
the doctor	37.0	0.0006226650062266501	-0.0016870717253868314
and then	37.0	0.0006226650062266501	-0.0003192746209578683
to him	36.0	0.0006058362222745784	-5.490287575903734e-05
they had	36.0	0.0006058362222745784	0.0025929569237481687
to his	35.0	0.0005890074383225068	-7.731622705396663e-05
if he	35.0	0.0005890074383225068	0.004116808817455994
to get	34.0	0.0005721786543704352	-9.903580384976857e-05
to go	34.0	0.0005721786543704352	-9.903580384976857e-05
as the	32.0	0.000538521086466292	0.0022608642531014196
of her	32.0	0.000538521086466292	-5.2463730593397164e-05
he did	32.0	0.000538521086466292	3.142728156353239e-05
through the	31.0	0.0005216923025142203	0.004622065377165083
all the	31.0	0.0005216923025142203	0.0027883902871814552
as a	30.0	0.0005048635185621487	0.002072552695770271
i don	30.0	0.0005048635185621487	0.0012003101159436438
could not	30.0	0.0005048635185621487	0.0030202819428530253
as he	30.0	0.0005048635185621487	0.002072552695770271
had a	29.0	0.00048803473461007707	0.0008308835694462484
up the	29.0	0.00048803473461007707	0.0027150547031248684
and i	29.0	0.00048803473461007707	-0.00042177299554090595
seemed to	29.0	0.00048803473461007707	0.004468142930408419
on a	29.0	0.00048803473461007707	0.001505163112085545
to do	29.0	0.00048803473461007707	-0.0001964668269186874
the road	28.0	0.0004712059506580054	-0.0014661741066809046
his head	28.0	0.0004712059506580054	0.0006586753285691112
i m	28.0	0.0004712059506580054	0.001073387639867457
the church	28.0	0.0004712059506580054	-0.0014661741066809046
the door	27.0	0.00045437716670593384	-0.001437650743323883
he thought	27.0	0.00045437716670593384	-8.4856753471947e-05
would have	27.0	0.00045437716670593384	0.001928946569240022
and his	27.0	0.00045437716670593384	-0.00043952853198382885
of them	27.0	0.00045437716670593384	-0.0001556397949793564
across the	27.0	0.00045437716670593384	0.0047828724901395345
the old	27.0	0.00045437716670593384	-0.001437650743323883
with his	27.0	0.00045437716670593384	0.0012646434838493516
in her	27.0	0.00045437716670593384	0.00034777113459183033
that was	26.0	0.0004375483827538622	0.0009264574398655385
i had	26.0	0.0004375483827538622	0.0009499365195971698
and that	26.0	0.0004375483827538622	-0.00044707323730943163
to a	26.0	0.0004375483827538622	-0.00024507460337227013
and she	26.0	0.0004375483827538622	-0.00044707323730943163
have been	26.0	0.0004375483827538622	0.002519752845928887
it would	26.0	0.0004375483827538622	0.0008565292679204228
he knew	25.0	0.0004207195988017906	-0.0001252841172322092
about the	25.0	0.0004207195988017906	0.002384751661937363
when the	25.0	0.0004207195988017906	0.0022441387695445974
he felt	25.0	0.0004207195988017906	-0.0001252841172322092
was in	25.0	0.0004207195988017906	0.00013509423586813827
a man	25.0	0.0004207195988017906	-0.00011627189946606139
she said	25.0	0.0004207195988017906	0.0012319378518118762
him to	25.0	0.0004207195988017906	0.0014090386994404336
